Model,Metric,MAE,MSE,RMSE,R2,Fit Time,Inference Time
AdaBoost,Mean,2.593724890128355,11.25391538751902,3.2322884005650416,0.5626220128010088,0.663003134727478,0.006006336212158167
AdaBoost,Std.,0.6838163636989346,5.771953229841242,0.8224883560921917,0.24295766351169312,0.008308494320864933,0.0010389389102480333
Decision Tree,Mean,1.967005455529078,7.641321718676383,2.5781165142378613,0.7369986860283834,0.12222805023193355,0.0027673562367756667
Decision Tree,Std.,0.735948192715859,5.741281069779803,0.9399161503356236,0.14274157277882069,0.0040842069957865,0.00044622306907646665
Random Forest,Mean,1.781334601749463,6.642801343705345,2.380874206339721,0.76708249915636,50.1372534831365,0.13553396066029863
Random Forest,Std.,0.688532084340595,5.141441401258154,0.9042297101762905,0.15074877835294395,0.8386802059205487,0.005423908824490933
XgBoost,Mean,1.5288624407550815,5.067667349093122,2.0512737212969387,0.8270893123780608,5.869120049476623,0.024445947011311798
XgBoost,Std.,0.6579341606795884,4.593981725703413,0.8693305394365313,0.12700382104976457,0.3574268828417937,0.0024873569401881335
