,0
Hour,1.6086459925872876
Day of Year,0.293477047362493
general diffuse flows,0.07495568165124322
Temperature,0.05989890405894712
Day of Week,0.03984009267360461
Minute,0.018178062009149242
diffuse flows,0.018001709792768716
Day,0.01507993204390452
Humidity,0.00901993411032398
Wind Speed,0.0037516863001401
Month,0.0027382344003401005
Quarter of Year,0.0005751040550362018
